Id,Home Ownership,Annual Income,Years in current job,Tax Liens,Number of Open Accounts,Years of Credit History,Maximum Open Credit,Number of Credit Problems,,Bankruptcies,Current Credit Balance,Monthly Debt,Credit Score
5330,Rent,857831,2 years,0,8,11.7,150194,0,,0,61370,4403,724
5331,Home Mortgage,1405335,7 years,0,6,13.5,905036,0,,0,5472,7530,750
5332,Rent,,10+ years,0,9,11.6,591008,0,,0,182723,11874,
5333,Home Mortgage,1267395,3 years,0,11,11.8,137676,1,,0,34124,25559,719
5334,Home Mortgage,2939414,1 year,0,22,15.6,1676136,0,,0,579025,37967,736
5335,Home Mortgage,3297070,10+ years,0,9,20.5,885522,0,,0,198835,3929,744
5336,Rent,284810,,0,13,19.5,198110,1,,0,63137,5221,746
5337,Home Mortgage,1328803,3 years,0,6,23.4,124718,0,,0,57722,25136,702
5338,Rent,1647946,3 years,0,7,17.7,159346,0,,0,97147,17166,702
5339,Rent,,3 years,0,5,13.3,316294,1,,1,84132,10199,
5340,Rent,1037894,5 years,0,8,12.5,572286,0,,0,219944,17990,679
5341,Rent,1247844,10+ years,0,9,11.1,613492,0,,0,334324,14246,722
5342,Home Mortgage,,10+ years,0,19,25.9,1419858,0,,0,1016557,48679,
5343,Rent,1512096,2 years,0,9,30.3,784234,0,,0,150366,12853,751
5344,Rent,1831543,10+ years,0,16,17.7,745536,0,,0,424954,35868,724
5345,Rent,1213264,10+ years,0,21,16.1,406054,0,,0,233206,20423,716
5346,Home Mortgage,1433987,10+ years,0,18,30.2,1338986,0,,0,238222,5139,741
5347,Home Mortgage,2169933,7 years,0,10,12.7,413644,0,,0,53580,46653,745
5348,Rent,768797,10+ years,0,7,16.6,628980,0,,0,127661,10424,751
5349,Rent,944585,,0,11,13.7,393360,0,,0,77805,3589,7360
5350,Rent,846374,3 years,0,15,13.6,357280,0,,0,189145,16010,727
5351,Rent,927200,4 years,0,11,16,431090,0,,0,141094,14372,711
5352,Home Mortgage,927181,7 years,0,13,15,396726,0,,0,182951,24107,687
5353,Rent,758328,2 years,0,10,9,265364,0,,0,92359,11122,7440
5354,Home Mortgage,766688,10+ years,0,14,17,668514,0,,0,368353,21851,6960
5355,Rent,1070004,3 years,0,12,19.1,1769130,0,,0,557688,18458,729
5356,Home Mortgage,1730007,10+ years,0,16,16.4,745690,0,,0,321366,18165,744
5357,Home Mortgage,1040383,10+ years,0,8,19.1,105314,1,,0,50654,11618,678
5358,Rent,1032669,10+ years,0,13,18,793430,0,,0,500232,24182,674
5359,Home Mortgage,1093982,5 years,0,23,22.5,540540,0,,0,97565,18415,723
5360,Home Mortgage,1349019,10+ years,0,14,23.3,325820,0,,0,126901,33163,735
5361,Rent,,2 years,0,6,28.5,725010,0,,0,560405,13463,
5362,Home Mortgage,1455856,9 years,0,10,19.2,248996,0,,0,99769,24386,725
5363,Own Home,1517568,10+ years,0,14,24.7,1803560,0,,0,876945,26178,729
5364,Rent,869877,3 years,0,7,12.3,192610,0,,0,101137,22109,660
5365,Home Mortgage,5038534,1 year,0,7,26.6,1518066,0,,0,899384,68440,730
5366,Own Home,618488,< 1 year,0,12,15.7,257708,0,,0,92815,3371,691
5367,Rent,669408,10+ years,0,4,15.5,247302,0,,0,184319,5634,730
5368,Home Mortgage,2149109,10+ years,0,4,17.1,806300,0,,0,123956,10369,750
5369,Home Mortgage,1347613,2 years,0,17,23.7,583440,0,,0,381444,24594,712
5370,Home Mortgage,1456369,10+ years,0,29,19.8,1054944,0,,0,613168,32890,677
5371,Home Mortgage,,5 years,0,8,17.6,265408,0,,0,114152,9093,
5372,Rent,758632,4 years,1,10,10.9,217206,1,,0,65474,5797,738
5373,Own Home,1711881,10+ years,6,12,15.4,551166,6,,0,295602,36092,741
5374,Rent,,5 years,0,12,10.4,242066,0,,0,63764,1282,
5375,Home Mortgage,1136751,5 years,0,9,16.4,320122,0,,0,236379,21314,741
5376,Rent,1133274,5 years,0,8,18,196856,0,,0,164578,29937,621
5377,Home Mortgage,1125180,10+ years,0,10,16.3,240658,0,,0,142994,12940,733
5378,Home Mortgage,1598052,10+ years,0,17,20.6,2422068,0,,0,1020794,31029,745
5379,Rent,500574,,0,6,26.4,451902,1,,1,87818,2561,747
5380,Rent,1156511,3 years,0,11,14.1,331254,0,,0,268926,22061,613
5381,Rent,1151856,2 years,0,9,15,464266,0,,0,248995,29180,681
5382,Rent,967347,9 years,0,33,16,783530,0,,0,467590,19669,6950
5383,Home Mortgage,1422435,7 years,0,27,23.6,561396,0,,0,132354,21455,7320
5384,Home Mortgage,2781885,10+ years,0,14,18,1766688,0,,0,96121,33614,746
5385,Home Mortgage,1095996,5 years,0,12,14.5,394416,0,,0,164863,22377,736
5386,Rent,,10+ years,0,9,24.6,793826,0,,0,624549,20833,
5387,Rent,1749501,3 years,0,4,23.5,351340,0,,0,247589,14302,731
5388,Home Mortgage,1903154,10+ years,0,17,13.3,708290,0,,0,494874,46627,741
5389,Rent,,4 years,0,15,17,871222,0,,0,365674,22387,
5390,Rent,741912,2 years,0,9,9.3,678326,0,,0,319276,15147,738
5391,Home Mortgage,907706,7 years,0,8,6.6,320848,0,,0,33535,13162,612
5392,Home Mortgage,1734453,10+ years,0,10,36.9,449152,0,,0,330885,31943,746
5393,Rent,1008938,3 years,0,10,12.4,319110,0,,0,152418,21524,730
5394,Home Mortgage,1484793,10+ years,0,13,47,480084,0,,0,172482,17941,740
5395,Home Mortgage,,4 years,0,8,11.4,0,0,,0,0,10418,
5396,Home Mortgage,8710740,2 years,2,15,16.5,3162896,2,,0,1663545,40215,735
5397,Rent,412205,1 year,0,12,29,903386,0,,0,212990,9343,7270
5398,Home Mortgage,2054869,8 years,0,18,14.4,2009370,0,,0,1112374,39214,746
5399,Home Mortgage,2334150,6 years,0,8,10.9,536382,0,,0,303430,29566,691
5400,Rent,795530,1 year,0,16,11.8,405680,0,,0,259616,12264,720
5401,Home Mortgage,1211478,10+ years,0,14,28.9,2763376,0,,0,517883,15043,740
5402,Rent,,9 years,0,17,16.8,983444,0,,0,377112,15011,
5403,Home Mortgage,967100,1 year,0,7,9.4,172700,1,,1,48032,9026,714
5404,Home Mortgage,1488289,7 years,0,15,15.4,465960,1,,1,187929,35099,726
5405,Rent,,< 1 year,0,4,18.2,122166,0,,0,69008,13036,
5406,Home Mortgage,1452645,10+ years,0,18,15.6,1121010,0,,0,190722,11306,744
5407,Home Mortgage,1470999,4 years,0,12,24.6,1779646,0,,0,1126586,38491,748
5408,Home Mortgage,1460340,5 years,0,7,21.3,1001990,0,,0,542583,13301,748
5409,Home Mortgage,1526384,8 years,0,11,16.9,326876,0,,0,232617,24041,692
5410,Rent,503082,1 year,0,4,9.5,264484,0,,0,214719,4360,723
5411,Rent,1026513,2 years,0,6,20,828124,0,,0,609349,16390,700
5412,Home Mortgage,952375,10+ years,0,2,13.7,143330,0,,0,115121,11508,736
5413,Home Mortgage,370025,6 years,0,8,25.1,411026,0,,0,17746,3278,742
5414,Rent,613016,6 years,0,12,14.3,259336,0,,0,129010,10626,741
5415,Home Mortgage,4906028,10+ years,2,13,13.8,374792,2,,0,72504,32830,705
5416,Rent,1887175,10+ years,0,10,18.5,978802,0,,0,581590,24690,745
5417,Own Home,1254760,8 years,0,6,20.8,221386,0,,0,166535,11816,740
5418,Home Mortgage,686907,,0,8,26.9,356598,1,,1,134900,3600,737
5419,Home Mortgage,,4 years,0,9,21,219582,0,,0,168397,16001,
5420,Rent,1511488,7 years,0,6,17.8,487696,0,,0,412775,30230,702
5421,Rent,706040,,0,6,14.6,270732,0,,0,198037,6884,696
5422,Rent,,10+ years,0,11,17,426008,1,,1,125096,20741,
5423,Rent,902101,5 years,0,13,16.9,284372,0,,0,134596,17215,734
5424,Home Mortgage,1547189,4 years,0,10,22.5,297924,0,,0,201210,24497,743
5425,Home Mortgage,1501912,6 years,0,11,20.5,650210,0,,0,472815,19162,693
5426,Home Mortgage,,4 years,0,10,23.6,1035518,0,,0,338048,7937,
5427,Home Mortgage,,10+ years,0,12,19.1,321310,0,,0,246145,16787,
5428,Home Mortgage,910746,10+ years,0,12,30,416196,0,,0,155268,14724,719
5429,Rent,518054,5 years,0,11,13.8,291390,0,,0,227487,13944,730
5430,Rent,,1 year,0,9,12.9,704132,0,,0,207974,21685,
5431,Home Mortgage,1100594,10+ years,0,12,22.5,1928982,0,,0,129941,14858,750
5432,Home Mortgage,2785590,< 1 year,0,14,28.6,7526552,0,,0,2678088,57569,738
5433,Rent,1060162,10+ years,0,4,20.9,1021218,0,,0,346617,11273,666
5434,Home Mortgage,2140844,10+ years,0,7,26,247808,0,,0,200108,28366,710
5435,Own Home,,1 year,0,8,10,172084,0,,0,70889,12986,
5436,Own Home,799805,5 years,0,9,24.6,213664,0,,0,108870,5785,734
5437,Home Mortgage,1627388,8 years,0,8,15.9,422290,0,,0,355585,23461,683
5438,Rent,,4 years,0,7,17,671814,0,,0,439793,31164,
5439,Rent,561621,3 years,0,13,11,247258,0,,0,131556,8012,741
5440,Home Mortgage,667736,10+ years,0,7,31.3,330132,1,,1,80123,10016,680
5441,Rent,702430,2 years,0,10,8.8,166914,0,,0,72219,10478,723
5442,Home Mortgage,4477065,4 years,0,5,22.5,529342,0,,0,363907,17647,746
5443,Rent,1138632,10+ years,0,6,13,100474,1,,1,24567,10248,739
5444,Rent,1162686,3 years,0,11,9.7,511852,0,,0,401375,25773,706
5445,Home Mortgage,349600,,0,9,17.9,480876,0,,0,110466,6439,749
5446,Home Mortgage,2980644,3 years,0,13,19.8,138952,5,,0,57589,49181,678
5447,Rent,940310,4 years,0,15,22.5,544522,0,,0,321670,23273,731
5448,Home Mortgage,1160862,6 years,0,9,14.8,730092,0,,0,607202,25442,704
5449,Home Mortgage,,9 years,0,16,19.7,496540,0,,0,195548,15115,
5450,Rent,1498264,2 years,0,8,9.9,609180,0,,0,273068,5594,743
5451,Home Mortgage,1299809,10+ years,0,7,16,324918,0,,0,128516,9889,746
5452,Home Mortgage,1864489,10+ years,0,7,18.1,402688,0,,0,262922,31696,7140
5453,Home Mortgage,2025495,10+ years,0,15,23,701558,0,,0,470174,44899,740
5454,Rent,802066,2 years,0,7,13.1,588412,0,,0,286615,12833,736
5455,Rent,,< 1 year,0,13,18.4,342738,0,,0,163096,26937,
5456,Home Mortgage,2176374,10+ years,0,7,20,1893760,0,,0,1329677,28565,680
5457,Own Home,661409,10+ years,0,12,17.2,194722,0,,0,143279,12897,677
5458,Home Mortgage,2038890,6 years,0,8,14.1,809842,0,,0,673550,26676,703
5459,Home Mortgage,,10+ years,0,8,28.4,570526,0,,0,117762,3635,
5460,Home Mortgage,582882,10+ years,0,17,48.6,449900,1,,1,158517,12678,721
5461,Home Mortgage,1052182,10+ years,0,13,21.8,276342,0,,0,156788,11486,726
5462,Rent,1127707,10+ years,0,14,14,468930,0,,0,362045,25185,688
5463,Home Mortgage,1214252,7 years,0,8,27,556050,0,,0,300143,12446,708
5464,Rent,1463057,< 1 year,0,17,13.7,595914,0,,0,296438,21336,745
5465,Rent,,2 years,0,7,10.2,287540,0,,0,139061,9344,
5466,Rent,1897891,5 years,0,11,10.7,1004058,0,,0,760475,26571,705
5467,Home Mortgage,,10+ years,0,9,35.3,316536,0,,0,240578,16879,
5468,Home Mortgage,1722654,10+ years,0,21,29,2107160,0,,0,789792,25711,736
5469,Rent,1555340,1 year,0,18,30.7,794024,0,,0,285266,18781,733
5470,Rent,1125978,10+ years,0,23,15.6,707828,0,,0,235961,15201,728
5471,Rent,830243,10+ years,0,7,15.6,390544,0,,0,108946,3127,673
5472,Rent,1236691,1 year,0,5,11.2,97680,0,,0,63517,11089,748
5473,Home Mortgage,729505,10+ years,0,18,18.4,582494,0,,0,258571,11064,680
5474,Rent,835430,7 years,0,8,13.4,221430,0,,0,147839,10304,678
5475,Home Mortgage,1030978,8 years,0,13,21.5,728530,0,,0,115767,14692,729
5476,Home Mortgage,2025267,10+ years,0,17,16,1060268,0,,0,559493,25991,746
5477,Own Home,852264,7 years,0,10,16.2,567776,0,,0,264784,7955,626
5478,Home Mortgage,2505568,10+ years,0,9,23.7,178618,0,,0,80826,10649,739
5479,Rent,2213006,10+ years,0,12,18.1,465718,0,,0,250591,34117,660
5480,Home Mortgage,1060276,10+ years,0,13,14.7,416680,0,,0,325318,16169,7210
5481,Rent,741760,1 year,0,8,10,362868,0,,0,143849,13043,7330
5482,Rent,548017,10+ years,0,15,13.8,168410,0,,0,72428,2626,731
5483,Rent,699067,10+ years,0,12,16.4,341286,0,,0,259369,8389,688
5484,Rent,1452664,6 years,2,5,17,491810,2,,0,328757,5677,682
5485,Home Mortgage,3501586,10+ years,0,15,24.5,518848,0,,0,387600,38226,682
5486,Home Mortgage,2623026,1 year,0,7,16,260326,0,,0,182115,36526,7400
5487,Rent,816354,3 years,0,5,5.4,103246,0,,0,26486,816,733
5488,Rent,,5 years,0,10,17.4,388916,0,,0,324140,15117,
5489,Home Mortgage,647387,6 years,0,8,15.2,726220,0,,0,336167,12257,748
5490,Home Mortgage,1193314,10+ years,0,10,17.6,347424,1,,1,204630,13027,748
5491,Home Mortgage,874513,< 1 year,0,11,13,407198,0,,0,280269,22154,734
5492,Home Mortgage,1263785,10+ years,0,8,16.3,310706,0,,0,175218,17588,750
5493,Home Mortgage,,5 years,0,10,26.8,74690,1,,1,41933,39229,
5494,Home Mortgage,639730,< 1 year,0,7,17.6,276584,0,,0,125400,9543,699
5495,Rent,658559,4 years,0,4,14,95898,0,,0,73625,7244,657
5496,Rent,690232,1 year,0,11,9.4,139920,0,,0,92568,11101,739
5497,Rent,,< 1 year,0,6,4.3,145156,0,,0,92511,9676,
5498,Home Mortgage,970900,1 year,0,13,13.3,613514,0,,0,232617,13754,7030
5499,Home Mortgage,,10+ years,0,13,19.6,2107138,0,,0,354863,8572,
5500,Home Mortgage,1025145,10+ years,0,17,8.4,518078,0,,0,327522,19819,693
5501,Rent,1111842,6 years,0,14,21.5,202686,0,,0,93461,12508,736
5502,Home Mortgage,523906,10+ years,0,12,31.9,311828,0,,0,87799,9649,690
5503,Home Mortgage,2118006,4 years,0,10,27.4,621808,0,,0,331873,12443,744
5504,Home Mortgage,1411320,7 years,0,12,21.8,884290,0,,0,210026,9562,711
5505,Home Mortgage,939170,10+ years,0,9,15.4,189266,0,,0,131575,4790,734
5506,Own Home,319067,,0,14,7,784828,0,,0,12198,436,734
5507,Home Mortgage,1106959,10+ years,0,4,23.7,60566,0,,0,40375,950,743
5508,Home Mortgage,,5 years,0,13,11,688644,0,,0,336623,17485,
5509,Home Mortgage,2812095,10+ years,0,9,14.2,371162,0,,0,95190,13357,750
5510,Home Mortgage,3084384,10+ years,0,12,15.5,1036046,0,,0,392787,31872,699
5511,Home Mortgage,1975202,10+ years,0,12,24.5,327580,0,,0,247266,21069,740
5512,Rent,,10+ years,0,14,19.6,428384,0,,0,220115,8867,
5513,Home Mortgage,1784708,10+ years,0,11,28.6,449592,1,,1,147554,29448,736
5514,Rent,1501608,6 years,0,9,10.8,147840,0,,0,118864,16643,726
5515,Rent,802047,2 years,0,26,11.1,397672,0,,0,109896,13394,666
5516,Rent,806854,5 years,0,6,12,424578,0,,0,164274,3456,735
5517,Home Mortgage,1139772,3 years,0,7,19.4,265738,0,,0,42693,6934,711
5518,Home Mortgage,1760787,10+ years,0,8,23.6,602976,0,,0,320777,15994,740
5519,Rent,667166,4 years,0,10,9.5,160930,0,,0,98534,9007,714
5520,Home Mortgage,1058851,8 years,0,11,17.6,383020,1,,0,253707,13236,722
5521,Rent,1751382,4 years,0,15,15.4,1030348,0,,0,423567,23790,735
5522,Rent,374110,10+ years,0,10,19.4,946418,0,,0,317129,10163,739
5523,Home Mortgage,1520304,10+ years,0,21,35.5,21372428,0,,0,1975012,12555,728
5524,Rent,1212105,< 1 year,0,17,15.2,403238,0,,0,266760,16666,732
5525,Home Mortgage,,10+ years,0,21,20.7,490380,0,,0,134254,12598,
5526,Home Mortgage,1889740,8 years,0,37,25.7,1366332,0,,0,154584,38267,743
5527,Home Mortgage,996436,6 years,0,8,17.5,232870,0,,0,147421,16607,747
5528,Rent,959785,2 years,0,11,14.8,257774,1,,1,93062,5167,607
5529,Rent,2301432,5 years,0,10,14.6,865062,1,,1,184528,38741,632
5530,Home Mortgage,1356011,10+ years,0,12,28.5,658988,0,,0,398962,21018,734
5531,Home Mortgage,915287,7 years,0,16,14,399608,0,,0,192565,20365,708
5532,Own Home,1631967,10+ years,0,7,28.1,269082,0,,0,147345,11410,739
5533,Home Mortgage,854487,10+ years,0,13,16,703252,0,,0,447013,18585,728
5534,Rent,,1 year,0,11,10.9,397408,0,,0,11666,2087,
5535,Own Home,911126,6 years,0,9,26.4,1025266,0,,0,510910,18071,734
5536,Home Mortgage,1694439,< 1 year,0,8,11.9,217998,0,,0,142899,21604,746
5537,Home Mortgage,557061,6 years,0,8,11.8,346060,0,,0,95342,3700,676
5538,Rent,1599344,< 1 year,0,7,5.6,331012,0,,0,170373,15727,706
5539,Home Mortgage,1546239,5 years,0,13,26.4,691218,0,,0,129542,37238,730
5540,Home Mortgage,1722312,4 years,0,11,18.8,1000098,0,,0,284164,36872,730
5541,Rent,727890,1 year,0,10,19.2,313302,0,,0,167770,6539,711
5542,Home Mortgage,2867100,10+ years,0,16,28,3075996,0,,0,2194310,70961,602
5543,Rent,1377842,10+ years,0,10,19.5,854502,0,,0,523963,34217,729
5544,Rent,1035918,6 years,0,9,6.8,350592,0,,0,95988,17092,683
5545,Rent,2273388,10+ years,0,7,16.5,212718,0,,0,145502,21597,708
5546,Home Mortgage,1073994,2 years,0,15,16.5,515328,0,,0,108148,9219,741
5547,Rent,1031871,10+ years,0,7,16,346830,0,,0,242630,15736,728
5548,Rent,985226,10+ years,0,10,27.5,217294,0,,0,151449,26109,696
5549,Rent,759544,1 year,0,17,9,208736,0,,0,133228,7406,728
5550,Home Mortgage,3819760,10+ years,0,12,15.9,1631894,0,,0,1192326,43927,658
5551,Rent,888706,3 years,0,15,12,843788,0,,0,401527,19033,712
5552,Home Mortgage,3770208,2 years,0,13,23.2,2238148,0,,0,962597,35628,740
5553,Rent,1075533,7 years,0,23,18.5,277244,1,,1,74233,8111,748
5554,Rent,4215112,10+ years,0,14,22.3,753478,0,,0,446405,32983,743
5555,Rent,907801,5 years,0,8,13.4,291434,0,,0,78527,15433,6740
5556,Home Mortgage,1607172,6 years,0,6,31.6,405438,0,,0,240559,26250,750
5557,Home Mortgage,,10+ years,0,5,18,641872,0,,0,374186,9812,
5558,Rent,1297814,4 years,0,17,18,678788,0,,0,388075,20138,741
5559,Own Home,679820,2 years,0,7,8,530156,0,,0,311334,10764,670
5560,Home Mortgage,1453842,6 years,0,11,12.9,372856,0,,0,254714,8711,735
5561,Home Mortgage,,10+ years,0,10,18.3,416372,0,,0,6118,15307,
5562,Own Home,1419167,6 years,0,13,20,265144,0,,0,106020,22588,615
5563,Rent,,10+ years,0,9,25.2,331210,0,,0,148466,16897,
5564,Rent,,4 years,0,13,23.4,701954,0,,0,173983,9578,
5565,Rent,631731,< 1 year,0,8,28.8,356972,1,,1,183122,12371,724
5566,Own Home,,< 1 year,0,12,24.7,594594,0,,,126331,11987,
5567,Rent,1252860,9 years,0,8,18.6,234938,0,,0,128440,26937,740
5568,Rent,477717,2 years,0,10,8.6,343354,0,,0,118313,5414,741
5569,Rent,2480621,8 years,0,12,5,1223904,0,,0,461909,40724,745
5570,Rent,,4 years,0,7,5,63756,0,,0,22800,9945,
5571,Home Mortgage,,9 years,0,10,13.2,145838,0,,0,18886,4649,
5572,Rent,944490,2 years,0,17,11,439670,0,,0,354654,18496,7210
5573,Home Mortgage,1259833,1 year,0,15,26.4,668778,1,,1,329802,11653,745
5574,Rent,851162,3 years,0,8,8.7,455730,0,,0,220020,25109,636
5575,Rent,1316757,10+ years,0,23,19.9,1141888,0,,0,636082,30285,647
5576,Home Mortgage,1150488,10+ years,0,12,17.8,501204,1,,1,148029,27612,733
5577,Home Mortgage,728061,8 years,0,6,15.6,664774,0,,0,212990,3774,749
5578,Home Mortgage,,2 years,0,11,18.2,476872,0,,0,202635,18944,
5579,Home Mortgage,1726758,5 years,0,7,26.1,626912,0,,0,306983,12044,740
5580,Rent,1536568,7 years,0,26,26,908952,0,,0,341487,26634,732
5581,Home Mortgage,1383922,10+ years,0,5,11,95370,0,,0,42579,9353,717
5582,Rent,1261809,3 years,0,15,13.4,687742,0,,0,465671,35541,742
5583,Home Mortgage,,10+ years,0,7,18.7,254122,0,,0,129048,2697,
5584,Rent,,2 years,0,5,14.7,141240,1,,1,18905,6651,
5585,Home Mortgage,1429788,10+ years,3,6,36.5,277354,3,,0,195928,17038,7140
5586,Rent,605264,< 1 year,0,10,12,594308,1,,0,90345,13064,689
5587,Home Mortgage,1016671,5 years,0,5,10.4,350768,0,,0,281428,12031,739
5588,Own Home,1226735,1 year,0,21,27.5,3693778,0,,0,1681177,20548,710
5589,Home Mortgage,1597653,2 years,0,14,14.8,536052,0,,0,343520,30089,746
5590,Home Mortgage,869972,6 years,0,13,17.5,208098,3,,0,138016,7830,726
5591,Home Mortgage,1585607,1 year,0,7,12,127490,0,,0,55917,29995,665
5592,Rent,1984512,4 years,0,12,15.2,719246,0,,0,332329,11543,734
5593,Home Mortgage,1102608,2 years,0,9,16.7,945626,0,,0,539828,12129,733
5594,Home Mortgage,1919038,7 years,0,9,14.8,884136,0,,0,552824,28786,706
5595,Home Mortgage,1336251,10+ years,0,8,17.8,626076,0,,0,257925,11469,743
5596,Home Mortgage,1610953,7 years,0,8,21.2,208406,0,,0,111948,15036,707
5597,Home Mortgage,,9 years,0,14,15.2,428164,0,,0,255512,33020,
5598,Home Mortgage,,3 years,0,8,13.6,370458,0,,0,154850,15693,
5599,Rent,3870300,2 years,0,11,20.8,1796542,0,,0,1306421,45476,739
5600,Home Mortgage,772236,10+ years,0,14,15.9,482570,1,,1,299649,20529,731
5601,Home Mortgage,1039547,10+ years,0,5,20.9,217954,0,,0,1691,6696,748
5602,Home Mortgage,1039262,10+ years,0,5,24.5,148698,0,,0,105165,18880,725
5603,Home Mortgage,848597,10+ years,0,17,22.3,906202,0,,0,194864,18103,691
5604,Home Mortgage,2348400,3 years,0,6,12.6,624756,0,,0,125172,25637,745
5605,Home Mortgage,1589331,10+ years,0,16,15.7,1161248,0,,0,439261,12715,742
5606,Rent,578075,4 years,0,9,13.7,211728,2,,1,93081,17583,678
5607,Home Mortgage,1043879,4 years,0,13,11.1,642598,0,,0,7771,2714,731
5608,Home Mortgage,1911153,10+ years,0,9,16.4,675532,0,,0,310954,23252,749
5609,Home Mortgage,1123242,9 years,0,12,12.4,1545082,0,,0,320264,13104,751
5610,Home Mortgage,1146612,5 years,0,14,7.4,427284,0,,0,251294,25703,669
5611,Rent,,< 1 year,0,15,12,730378,0,,0,402439,26359,
5612,Rent,766384,2 years,0,4,27,45914,0,,0,25213,7536,746
5613,Home Mortgage,1284780,10+ years,0,6,13.1,781616,0,,0,250439,18415,731
5614,Rent,930620,6 years,0,13,12,633292,0,,0,409108,24274,685
5615,Rent,1129227,< 1 year,0,7,20.5,96976,1,,1,58805,12986,737
5616,Home Mortgage,,10+ years,0,15,24.7,482878,0,,0,154299,18165,
5617,Rent,1308188,5 years,0,5,9.9,34672,0,,0,9994,17115,730
5618,Home Mortgage,2814508,6 years,0,17,16.6,6639358,0,,0,1221339,73412,7460
5619,Own Home,1328670,8 years,0,5,18.2,1021680,0,,0,633536,20816,6850
5620,Rent,1325687,8 years,0,10,20.2,449526,0,,0,230603,15245,740
5621,Home Mortgage,1132020,3 years,0,9,15.8,607002,0,,0,302480,14622,7280
5622,Home Mortgage,,5 years,0,9,19.9,484814,0,,0,169993,12090,
5623,Home Mortgage,1263405,2 years,0,2,20,153714,0,,0,6232,484,743
5624,Home Mortgage,463030,4 years,0,5,12.8,125092,0,,0,78109,7871,740
5625,Rent,1143116,10+ years,0,8,15.9,353452,1,,1,193230,17338,717
5626,Home Mortgage,,10+ years,0,11,30.5,395736,0,,0,179094,16571,
5627,Rent,836019,1 year,0,5,21.5,266464,1,,1,105868,5929,743
5628,Rent,1451087,4 years,0,10,14.8,53812,4,,0,19760,11584,725
5629,Rent,996398,3 years,0,10,8.9,1464100,0,,0,337611,5779,709
5630,Home Mortgage,942305,9 years,0,9,14.5,517176,0,,0,334533,17668,742
5631,Home Mortgage,771856,2 years,0,8,13.5,203456,0,,0,88198,18396,685
5632,Home Mortgage,,6 years,0,19,16.2,907720,0,,0,514273,18393,
5633,Rent,559512,,0,9,15.5,155496,0,,0,126483,4849,710
5634,Rent,621319,2 years,0,10,13,268686,0,,0,92815,8647,716
5635,Home Mortgage,1711463,4 years,0,11,17.8,581812,0,,0,422085,20538,691
5636,Home Mortgage,2331528,4 years,0,15,49.1,710050,0,,0,193173,26813,749
5637,Own Home,2431772,7 years,0,13,23.7,904464,0,,0,35929,15442,744
5638,Home Mortgage,1889550,10+ years,0,11,20.4,458898,0,,0,249679,14093,736
5639,Rent,1614563,10+ years,0,14,29.8,1199088,0,,0,517788,11060,741
5640,Home Mortgage,280136,,0,4,17.8,329582,0,,0,179037,4599,673
5641,Home Mortgage,827051,10+ years,0,8,31.2,336424,0,,0,217037,14473,741
5642,Home Mortgage,4080934,10+ years,0,14,29.2,1633742,0,,0,747821,41149,720
5643,Rent,1905890,10+ years,0,9,23.2,571538,0,,0,278388,18328,730
5644,Rent,1447667,3 years,0,6,7.1,312686,0,,0,152304,13632,740
5645,Rent,951710,7 years,0,6,13.4,200838,1,,1,41287,10469,707
5646,Home Mortgage,2135182,6 years,0,28,22.1,3015760,0,,0,768322,43593,742
5647,Home Mortgage,657153,10+ years,0,5,15.1,706816,0,,0,568328,8488,7360
5648,Rent,949905,2 years,0,12,8,180290,0,,0,142006,11795,722
5649,Own Home,867407,,0,7,23,225060,0,,0,61807,12650,723
5650,Home Mortgage,1279973,10+ years,0,8,26.1,679734,0,,0,301739,7776,747
5651,Own Home,823289,3 years,0,14,9.7,524392,0,,0,126806,16535,732
5652,Own Home,907117,3 years,0,10,17.8,429022,1,,1,156370,23359,743
5653,Home Mortgage,1685889,4 years,0,13,16.9,403612,1,,1,127224,8837,743
5654,Home Mortgage,1764758,10+ years,0,14,36.2,1464584,0,,0,1052372,42795,699
5655,Home Mortgage,1587374,6 years,0,8,10.2,877206,0,,0,518187,20371,743
5656,Home Mortgage,,10+ years,0,22,40.4,2602402,0,,0,1339519,34479,
5657,Home Mortgage,1555416,10+ years,0,10,7,659384,0,,0,400349,19961,722
5658,Own Home,554154,5 years,0,5,23,722986,0,,0,460180,9836,728
5659,Home Mortgage,435651,10+ years,0,3,10.7,219406,0,,0,157833,5409,720
5660,Home Mortgage,1508600,10+ years,0,7,14.4,238062,2,,2,153387,16595,7210
5661,Home Mortgage,635607,8 years,0,7,11.9,151470,0,,0,64752,14142,608
5662,Own Home,558201,9 years,0,13,15,683914,0,,0,165965,4317,717
5663,Rent,388493,< 1 year,0,4,8.8,108086,0,,0,66462,1904,722
5664,Home Mortgage,949335,10+ years,0,7,10.3,120956,0,,0,75525,8781,747
5665,Rent,970216,2 years,0,13,17.6,450538,0,,0,50578,14327,746
5666,Home Mortgage,927105,3 years,0,14,18.6,996204,0,,0,17214,3484,748
5667,Rent,654569,< 1 year,0,15,13.8,305448,0,,0,183863,11837,660
5668,Rent,1867966,10+ years,0,13,14.5,563574,0,,0,234593,23349,745
5669,Home Mortgage,1252784,7 years,0,26,17.8,918434,0,,0,236379,20567,705
5670,Rent,520182,2 years,0,11,10,288222,0,,0,96824,11271,742
5671,Own Home,1256128,9 years,0,9,18.1,1197482,0,,0,698079,14445,611
5672,Rent,,2 years,0,6,16.8,253440,0,,0,15979,1452,
